coherence,requires_running_space,friendly_with_children,friendly_with_other_pets,is_calm,is_energetic,inconsistencies,PetID
medium,1,0,1,1,0.0,Pet is not vaccinated or dewormed.,deff069a2
high,1,1,1,0,1.0,,4e3640544
high,1,0,1,0,1.0,,ace21b6b1
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,8ee223a17
medium,1,0,0,1,0.0,Primary breed is Siamese not Persian,9a38d4275
high,1,1,1,0,1.0,No inconsistencies found.,671ffc570
medium,1,0,1,0,1.0,Vaccination status not mentioned in description,aece6e7bf
medium,1,0,0,0,1.0,Pet is not vaccinated or dewormed,c1e816568
high,1,0,0,0,1.0,,22f6c0ac6
high,1,1,1,1,0.0,,ea159d8da
medium,1,1,1,0,1.0,Vaccination and deworming status unclear,af1035c81
high,1,0,0,1,1.0,No inconsistencies found.,0d25f084f
high,1,1,1,0,1.0,,6fecc5cf7
high,0,0,0,1,1.0,,7fe8ef73d
high,1,0,0,0,1.0,No inconsistencies found.,015c75c9e
high,1,1,1,0,1.0,,9609a0b86
medium,1,0,0,0,1.0,Health status not clear from structured data,c740abfe1
high,1,1,1,0,1.0,,f6551137d
medium,1,1,1,0,1.0,Color and breed not mentioned in structured data,8c131db77
high,1,1,0,0,1.0,None,d765ae877
high,1,0,1,0,1.0,,8ce183889
medium,1,0,0,0,1.0,Mother' s age and vaccination status not in structured data,9c0ddccc8
medium,1,0,0,0,1.0,Age and vaccination status not mentioned in description,f9df8656a
medium,1,1,0,0,1.0,Sterilization status unclear,f0ef9c777
medium,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description,3181e5424
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,9883a048e
high,1,0,0,0,1.0,,b0dec8779
high,1,1,1,0,1.0,,e8d0907ae
medium,1,0,0,0,1.0,Vaccination status not consistent with health description,e540c1ba5
high,1,0,1,0,1.0,,4a4db4d32
high,1,0,1,1,1.0,,98a98311c
medium,0,1,1,1,0.0,,ef14861df
high,1,1,1,0,1.0,,a9bc357f0
high,1,Not specified in the data.,Not specified in the data.,0,1.0,,aaf4a1439
high,1,0,0,0,1.0,Age discrepancy (2 months vs. 3 months),1e62e6022
medium,1,0,0,0,1.0,Sterilization status not mentioned in description,4e797dcdd
medium,1,1,1,0,1.0,Age and maturity size not consistent with description,45d2ddcb8
high,1,0,1,0,1.0,,259b10a3e
high,1,1,1,0,1.0,,d2490c888
high,1,1,1,0,1.0,No inconsistencies found.,2c93c0c11
high,1,1,1,0,1.0,,35593da00
medium,1,0,0,0,1.0,Council intervention mentioned but sterilized status is not.,4cc70e613
high,1,1,1,0,1.0,None,ff125cf8d
medium,1,1,1,0,1.0,Color change to silver not mentioned in structured data,c30dd6e9a
medium,1,0,0,1,0.0,No deworming or sterilization mentioned,be9474b85
medium,1,1,1,0,1.0,Vaccination and deworming status unclear,815f4cc08
medium,1,0,0,0,1.0,Gender mismatch,ec5069cf6
medium,1,0,0,0,1.0,Pet not sterilized yet,867308404
medium,1,0,0,1,0.0,Lulu is not vaccinated or dewormed.,e9df3ead7
medium,1,0,0,0,1.0,Vaccination status unclear,258667857
medium,1,0,0,0,1.0,Age mismatch,fd3172797
medium,1,0,0,0,1.0,Age mismatch,8df0bb3b3
medium,1,0,0,0,1.0,Vaccination status not mentioned in structured data,3d0752cd9
high,1,0,0,0,1.0,No specific inconsistencies found,22051ab84
high,1,0,0,0,1.0,No inconsistencies found.,573b3ec3d
medium,1,0,0,0,1.0,Health status not mentioned in structured data,370fe2afb
medium,1,0,0,1,1.0,Vaccination and deworming status missing,dd308e46b
high,1,0,0,0,1.0,,6a763a055
medium,1,0,0,1,1.0,Secondary breed not specified,5e4154870
high,1,1,1,0,1.0,,a44d42407
medium,1,0,0,0,1.0,Vaccination status not mentioned in structured data,cc8401c02
medium,1,0,0,0,1.0,Vaccination and deworming status unclear,0f24b6cd6
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,49bb70e36
high,1,1,1,0,1.0,,43ddb2eb4
high,1,1,1,1,0.0,No inconsistencies found.,dae92dd61
high,1,1,1,0,1.0,,a6ac8884b
medium,1,0,1,1,1.0,Pet not sterilized as per data.,60ce9e319
high,1,0,0,0,1.0,,5247209aa
high,1,1,1,0,1.0,,19b1f4263
high,1,0,0,0,1.0,,d50e11ec5
high,1,1,1,0,1.0,,4407e70f3
high,1,1,1,0,1.0,None,27b6e5aca
medium,1,0,0,0,1.0,No adoption plan mentioned in description,80ebea85c
high,1,1,1,0,1.0,,1bf1f95ef
medium,1,0,1,0,1.0,Age mismatch,cdab8ba8e
high,1,1,1,1,0.0,,b84dad49f
medium,1,1,1,0,1.0,Vaccination status not mentioned in description,f0a2122d4
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,1104fe6bb
high,1,1,1,0,1.0,Health status not mentioned in description.,46d88ca3e
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,b99d5d532
low,0,0,0,1,0.0,Gender mismatch in description and data,2b6d08cba
medium,1,0,0,0,1.0,Age and size inconsistency,b9429dc85
high,1,1,1,0,1.0,,c61f6507e
high,1,0,0,0,1.0,,e464fcd4b
medium,1,0,0,0,1.0,Age mismatch with provided data,86379f12f
medium,1,1,1,0,1.0,Color data mismatch,55fcdea2f
medium,1,0,0,0,1.0,Vaccination status not confirmed in description,392d3346e
medium,1,0,1,0,1.0,Vaccination and deworming status not mentioned in description,33db028cb
high,1,1,0,1,1.0,No inconsistencies found.,35c0c3aca
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,d080818c3
high,1,1,1,0,1.0,,6f0cb510a
medium,1,1,1,0,1.0,Vaccination status unclear,61ac3c78c
medium,1,0,0,1,1.0,Pet is not vaccinated as per structured data.,368b2adc1
medium,1,0,1,0,1.0,Vaccination status unclear,2e4c1faf7
medium,1,0,0,0,1.0,Kitties are not vaccinated or dewormed,a85a1c8c3
medium,1,0,0,0,1.0,Color mismatch: Description says white eye color but data shows brown.,25c7d6c3b
medium,1,0,0,0,1.0,Mixed gender not reflected in structured data,0b819602d
medium,1,0,1,1,1.0,Age and gender not mentioned in tabular data,4c594983d
medium,1,1,1,0,1.0,Mother had 9 puppies; only 3 mentioned,05f99fc56
medium,1,0,0,0,1.0,No vaccination or deworming records provided,1dfadc371
high,1,1,1,0,1.0,,6d9b202c9
high,1,0,0,0,1.0,,54791dc58
high,1,1,1,0,1.0,,b36616178
high,1,0,0,0,1.0,No vaccination status provided in description.,2ac4dd8c2
high,0,0,0,1,1.0,,29f54c6ff
high,1,1,1,0,1.0,,48b418070
medium,1,0,1,0,1.0,Vaccination and deworming status not mentioned in description.,c7eac7b01
high,1,1,1,0,1.0,,8e0d65b3e
high,1,1,1,1,0.0,,9a34ddc8b
high,1,1,1,0,1.0,,ff9f62e79
medium,1,0,1,0,1.0,Age and vaccination status not mentioned in description,4a6ee5d02
high,1,1,1,0,1.0,,474bccd75
high,1,1,1,0,1.0,,e4abb93bf
medium,1,1,1,0,1.0,Age and maturity size inconsistency,120805f93
high,1,0,0,0,1.0,,2acf3fdce
high,1,0,0,0,1.0,,e1ecc1b26
medium,1,0,0,0,1.0,Gender mismatch in description and data,a8cdba660
medium,1,0,0,0,1.0,Vaccination status unclear,9bcd62ef1
medium,1,1,0,1,1.0,Vaccination status unclear in description,c3f2f166d
high,1,1,1,0,1.0,,687e9c33c
high,1,1,1,0,1.0,No inconsistencies found.,bb5f471dd
medium,1,0,1,1,1.0,Age and maturity size not specified in tabular data.,0aaf6976a
medium,1,0,0,0,1.0,Pet not vaccinated or dewormed,45600eaab
high,1,0,0,0,1.0,,dcba09ff1
medium,1,0,0,0,1.0,Pet' s sterilization status not mentioned in description.,d7f938acd
medium,1,1,1,0,1.0,Age and adoption status not mentioned in structured data,ea11b6f12
high,1,0,0,0,1.0,,3332eb59c
low,0,0,0,0,1.0,Tabby Gal may have breathing issues,b3e19ff68
medium,1,0,0,0,1.0,Age and location details not provided in structured data.,594e3dc3f
medium,1,0,0,1,1.0,Pet not sterilized yet,fbb112b7e
high,1,0,0,0,1.0,No inconsistencies found.,d14d62508
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,5de61cf6b
medium,1,0,0,0,1.0,Pet not vaccinated or dewormed,b9590d4de
high,1,1,1,0,1.0,No inconsistencies found.,747c82f83
high,1,0,0,0,1.0,Vaccination status not mentioned in description.,3004c3401
high,1,1,1,0,1.0,,c737c30d7
medium,1,1,1,0,1.0,Vaccination status unclear,03b0568b3
high,1,1,1,0,1.0,No inconsistencies found.,987baa1c7
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,70b3d1f9c
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,27456ec0f
high,1,1,1,0,1.0,,5c28a8cec
medium,1,0,0,1,1.0,No specific inconsistency with tabular data provided.,2c8ae4c7e
high,1,1,1,0,1.0,,cd7bea671
medium,0,0,1,1,0.0,Age mentioned as 72 months in tabular data but described as 6 years old,7bda94ad0
medium,1,1,1,0,1.0,Vaccination status unclear,ab4b4681b
high,1,1,1,0,1.0,,aa189a931
high,1,1,1,0,1.0,No inconsistencies found.,d0bc14f47
medium,1,0,0,0,1.0,Sterilization status not mentioned in structured data,eab8c8c03
high,1,0,0,0,1.0,No inconsistencies found.,3b4a987ba
medium,1,0,0,0,1.0,Vaccination and deworming status unclear,1bbb46822
medium,1,0,0,0,1.0,Age not mentioned in structured data,5c546c236
high,1,1,1,1,0.0,,702bee848
medium,1,0,0,0,1.0,Pet not vaccinated or dewormed,66757255c
medium,1,0,0,0,1.0,Medium tail length not specified,0b0f596b5
medium,1,0,0,1,1.0,Primary breed listed as Mixed Breed in structured data,938bcf142
high,1,1,1,1,0.0,No inconsistencies found.,bea72e6c5
medium,1,1,0,0,1.0,Vaccination status not mentioned in structured data,52e555a3a
high,1,0,0,0,1.0,,3998bcfec
medium,1,0,1,1,1.0,Black puppy described as small,e62e5aa26
high,1,0,0,0,1.0,,933e0a3e8
medium,1,0,0,1,1.0,Sterilization status unclear,1eb8a0278
high,0,1,1,0,1.0,No inconsistencies found.,d5df16a32
medium,1,0,0,0,1.0,Color and breed do not match description,06296e4e2
high,1,1,1,0,1.0,,207d61997
high,1,0,1,0,1.0,,38a81271c
high,1,0,1,0,1.0,,65d10be4d
high,1,1,1,0,1.0,,c7b468b32
high,0,0,1,0,1.0,,6df350974
high,1,0,0,0,1.0,,249112486
high,1,1,1,0,1.0,,8f85e69ee
medium,1,0,0,0,1.0,Vaccination status not mentioned in tabular data,b243b8e93
medium,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description,89523a695
medium,1,0,0,0,1.0,Age and maturity size inconsistency,4f0eacbdd
high,1,1,1,0,1.0,No inconsistencies found.,b5fcc079e
medium,1,0,1,1,0.0,Vaccination status not mentioned in description,53976b229
high,1,1,1,1,0.0,No inconsistencies found.,f4ed1a08e
medium,1,0,0,0,1.0,Pet profile does not mention if it' s friendly with children or other pets.,2f3227612
medium,1,0,0,0,1.0,Pet is not vaccinated or dewormed,ba66a7a82
high,1,1,1,0,1.0,None,d4e83ee5b
high,1,1,1,0,1.0,No inconsistencies found.,00a1f270a
medium,1,0,0,0,1.0,Pet is not sterilized,74e316be1
medium,1,0,0,0,1.0,No deworming or sterilization mentioned in description,039509c40
medium,1,0,0,0,1.0,Pet not vaccinated or dewormed,eeb60466e
medium,1,0,0,0,1.0,Vaccination status not mentioned in structured data,c6cdbebfa
high,1,1,1,1,0.0,No inconsistencies found.,82137b39f
high,1,1,1,0,1.0,No inconsistencies found.,28b64c198
high,1,1,1,0,1.0,No inconsistencies found.,f70251906
medium,1,0,1,0,1.0,Vaccination and deworming status not mentioned in description,9d76ed82f
medium,1,0,0,1,1.0,Vaccination status not mentioned in description,e83f846eb
high,1,1,1,0,1.0,,60b9421cc
medium,1,0,0,0,1.0,Age and health status not mentioned in structured data,72a7cb335
medium,1,1,1,0,1.0,"Vaccination, deworming, and sterilization status unclear",0bd4aed6b
high,1,0,0,0,1.0,No inconsistencies found,ae03f99f2
medium,1,0,0,0,1.0,Cat not sterilized,5a1010bca
medium,1,0,0,0,1.0,Location at steel factory not mentioned in structured data,6a5c652b5
high,1,0,0,0,1.0,No photo provided,040771e8e
high,1,1,1,0,1.0,,706a9cd5c
medium,1,0,0,0,1.0,Vaccination status not consistent with health description,62550cf78
high,1,1,1,0,1.0,,701c5afba
high,1,1,1,0,1.0,Sterilization status unclear,d0fcfeb0f
high,1,1,1,0,1.0,,7bce76c66
high,1,1,1,0,1.0,,3b0b88ac2
medium,1,1,1,0,1.0,Father' s fur color not mentioned in structured data,a88d34ee3
medium,1,1,1,0,1.0,Vaccination and deworming status unclear,061378b30
medium,1,0,0,0,1.0,Description mentions kittens but data shows a single cat.,fc1457818
medium,1,1,1,0,1.0,"Vaccination, deworming, and sterilization status unclear",a27f0cc49
medium,1,1,1,0,1.0,Age discrepancy with structured data,728c78b39
high,1,0,0,0,1.0,,6c054c4ef
medium,1,1,1,0,1.0,Secondary breed not specified in structured data,d5b9e0322
medium,1,0,0,0,1.0,Vaccination status not mentioned in structured data,a2dc697f6
medium,1,0,0,0,1.0,Only one kitten' s breed is mentioned,b04b200fa
high,1,1,1,0,1.0,No inconsistencies found.,be7b65c23
high,1,1,1,0,1.0,,e37f4aa07
medium,1,0,0,0,1.0,Description does not match tabular data,7de2f688b
high,1,1,1,0,1.0,,e7020fa9a
high,1,0,0,0,1.0,Age and vaccination status inconsistency,752491221
high,1,0,0,0,1.0,No inconsistencies found.,c2346525a
medium,1,0,0,0,1.0,Color mismatch,bc7361016
high,1,1,0,0,1.0,,66201cf73
high,1,0,1,0,1.0,No inconsistencies found.,b7359384d
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,be23e42d0
high,1,1,1,0,1.0,No inconsistencies found.,1c59cecac
high,1,1,1,0,1.0,,e7e1904f4
medium,1,0,0,0,1.0,No vaccination or deworming information provided,2e3bfe5a9
high,1,0,0,0,1.0,,13f07ee9a
medium,1,0,0,0,1.0,Age mismatch,d78d1dec0
high,1,0,0,0,1.0,No secondary breed specified,821bd9373
medium,1,0,0,0,1.0,Vaccination status unclear,720db9cb3
high,1,0,0,0,1.0,No inconsistencies found.,0443d6f82
high,1,1,1,0,1.0,No inconsistencies found.,67efce2e0
low,1,1,1,0,1.0,Description mismatches tabular data,fa1a30192
medium,1,0,0,0,1.0,House size not suitable for kittens,c675f3b10
high,1,0,0,0,1.0,,6e3d78857
medium,1,0,0,1,1.0,Vaccination status unclear,d4d6997e3
high,1,0,0,0,1.0,,d13d93f69
medium,1,0,0,1,1.0,Age mentioned as 6 months in tabular data but described as a 2-month-old baby.,d8715d47e
high,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description.,c15b3c9f1
low,1,0,0,0,1.0,Pet profile states dogs are spayed but structured data indicates they are not.,3bef75882
high,1,1,1,0,1.0,,60bf93971
medium,1,0,0,0,1.0,Health status does not match description of dysfunctional limb.,e9eeadf82
high,1,1,1,0,1.0,,a4530b1d0
medium,1,1,1,0,1.0,Description mentions a dog but profile data shows it' s a female.,da6bb3100
high,1,1,1,0,1.0,,79669f807
high,1,0,0,0,1.0,,3af2b1473
medium,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description,0f0f81a37
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,b8976d821
medium,1,0,0,0,1.0,Pet not sterilized yet,9eb98f34c
high,1,1,1,0,1.0,,e317b2a73
high,1,0,0,0,1.0,No inconsistencies found.,ebd78e1d4
high,1,1,1,0,1.0,,0822c54d5
high,1,1,1,1,0.0,,4036e0e12
medium,1,0,1,1,0.0,"Age discrepancy (description says 5 weeks old, structured data shows 1 month)",f34d62be0
medium,1,0,0,0,1.0,Owner neglects kitten; no information on behavior or health.,2a7b5edbf
medium,1,0,0,0,1.0,Description mentions adopting siblings but data does not include this detail.,18042e473
medium,1,0,0,0,1.0,No vaccination or deworming records,dc99804de
low,1,0,0,0,1.0,Pet not sterilized as per data,0fb490c9b
high,1,1,1,0,1.0,None,284be445a
medium,1,0,0,0,1.0,Mentioned Bengal cat breed not in structured data,a831df76b
high,1,1,1,0,1.0,,145883970
medium,1,0,0,0,1.0,Dewormed and sterilized status unclear,e3d9dc96d
high,1,0,0,0,1.0,No inconsistencies found.,9a64e72cf
medium,1,1,1,0,1.0,No specific inconsistency with tabular data provided.,6e643eba1
high,1,0,0,0,1.0,,a1b3dafc9
high,1,0,0,1,1.0,,fe88a5777
high,1,1,1,0,1.0,None,bda2d149e
medium,1,0,0,0,1.0,Sterilization not mentioned in structured data,6cb5381cb
high,1,1,0,0,1.0,,366a03818
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,732d546b4
high,1,1,0,0,1.0,None,a8a8f95f6
high,1,0,1,1,1.0,No inconsistencies found.,0b4bb9906
medium,1,0,0,0,1.0,Pet not vaccinated or dewormed,5eeb10b7a
medium,1,0,0,0,1.0,Vaccination status not consistent with health description,f03b04b1e
medium,1,0,0,0,1.0,Vaccination status unclear,a672ea96d
high,1,0,0,0,1.0,,4df43033d
high,0,1,1,1,1.0,,d25638f81
high,1,0,0,0,1.0,,aafb75ee8
high,1,0,0,0,1.0,No inconsistencies found.,e9cf01a21
medium,1,1,1,1,0.0,Vaccination status not mentioned in description,1c74d62ed
medium,1,0,1,0,1.0,Age and color do not match structured data,2148c2ef6
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,f0bb05fc7
high,1,0,0,0,1.0,No inconsistencies found.,479500716
high,1,0,0,0,1.0,Color mismatch in description and data,1afdf61ec
high,1,0,0,1,1.0,,b4d0c60b6
high,1,1,1,0,1.0,,110d4487e
high,1,1,1,0,1.0,,27cede3cf
high,1,0,0,0,1.0,,99dcd9020
high,1,0,0,0,1.0,,4cb8fe436
high,1,Not specified in the data.,Not specified in the data.,0,1.0,,a13ed5e9d
medium,1,1,0,0,1.0,Vaccination status unclear,7adc5209e
medium,1,1,1,0,1.0,Vaccination status not mentioned in description,0a8ee7520
high,1,1,1,0,1.0,Vaccination status not consistent with health description.,82aa52460
medium,1,0,0,0,1.0,Health status not clear from structured data,4c9f111f1
high,1,1,1,0,1.0,No inconsistencies found.,eb6c692dc
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,d096658bb
medium,1,0,0,1,0.0,Vaccination status not compliant with description,109c4f5a8
medium,1,0,0,0,1.0,Age and living conditions not specified in structured data,f8b702182
high,1,Not specified in the data.,Not specified in the data.,0,1.0,,eb652ec07
medium,1,0,0,0,1.0,Pet is not sterilized yet,026ebf139
high,1,0,1,0,1.0,,6c7c5555f
medium,1,0,0,1,1.0,Age mismatch,1a9733afb
high,1,1,1,0,1.0,,1a54d4e92
high,1,0,0,0,1.0,,8526200d3
high,1,1,1,0,1.0,None,8df39788a
high,1,1,1,0,1.0,,045543730
high,1,1,1,0,1.0,,bf50b399e
high,1,0,1,1,1.0,Vaccination status unclear,a05289ebd
medium,1,1,1,0,1.0,Color description does not match structured data,dee525fcd
high,1,0,0,0,1.0,,ceed27182
medium,1,0,0,0,1.0,Pet not sterilized yet,c0a9578bb
medium,1,0,0,0,1.0,Age not mentioned in description,66dda45c4
medium,1,1,1,0,1.0,Age and health status not mentioned in description,9c87d70e5
high,1,1,1,0,1.0,,4574e3de4
high,1,1,1,0,1.0,,794a45833
high,1,1,1,1,0.0,,800a7c025
high,1,1,1,1,0.0,None,6c75b9082
medium,1,1,0,0,1.0,Mixed gender mentioned in description but only one breed listed,6dbc5c968
high,1,0,0,0,1.0,No inconsistencies found.,4dad8252f
high,1,1,1,0,1.0,,3f9f466d1
high,1,0,0,0,1.0,,8bf9a6b80
medium,1,0,1,0,1.0,Maturity size and fur length not mentioned in tabular data,c43ecb3e1
low,1,1,0,0,1.0,Description suggests unhealthy living conditions,3a3ae56f1
medium,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description,172332f53
high,0,0,0,0,1.0,Spaying not yet performed,01f7fdb78
high,1,1,1,0,1.0,No inconsistencies found.,9b721dcaf
medium,1,0,1,0,1.0,Age and health details not provided in description,e20655a10
high,1,0,0,0,1.0,,9718baba0
medium,1,1,1,0,1.0,Health status not clear in structured data,cdd7aee45
medium,1,1,1,0,1.0,Vaccination status unclear,86550c5dc
high,1,0,0,0,1.0,,ba311fc1a
high,1,0,0,0,1.0,,bb05c1ce8
medium,1,0,0,0,1.0,Vaccination status not consistent with health description,4060caeb1
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,e54ee8e55
medium,1,0,1,0,1.0,Age discrepancy,166092e21
high,1,1,1,0,1.0,,5a2c8a05f
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,d3d47c67d
high,1,0,1,0,1.0,No inconsistencies found.,8ba0c6894
medium,1,0,0,0,1.0,Description mentions a bengal cat but tabular data shows Domestic Short Hair,71cc0a02e
high,1,Not specified in the data.,Not specified in the data.,0,1.0,,75bbaa3fa
high,0,0,1,0,1.0,,ca587cb42
high,1,1,1,0,1.0,,b4eb7f4df
medium,1,1,1,1,0.0,Vaccination status unclear,fd32ce3ef
medium,1,1,1,0,1.0,Age mismatch,a15d8c8a8
medium,1,0,0,0,1.0,Description suggests pet is not sterilized yet.,34cedf9bb
high,1,0,0,0,1.0,No direct inconsistencies found.,ab599a6ac
medium,1,1,1,0,1.0,Health status not matching description,81da09ea9
medium,1,0,0,0,1.0,Age and vaccination status inconsistent with structured data,e736ab042
high,0,0,0,1,0.0,,81a815ef5
high,1,Not specified in the data.,Not specified in the data.,0,1.0,,0f122f712
high,1,0,0,0,1.0,,58a10d0cd
medium,1,0,0,0,1.0,Pet not sterilized yet,3b1976326
medium,1,0,0,0,1.0,Vaccination status not consistent with health description,30ea81bac
medium,1,0,0,1,1.0,Color mismatch: Black instead of Brown,35907f15e
medium,1,0,0,0,1.0,Age discrepancy,bfb33b149
high,1,1,1,0,1.0,,375905770
medium,1,0,0,0,1.0,Pet' s age and found location not mentioned in data,9ec161c16
high,1,0,1,0,1.0,,19f38a3f0
high,1,1,1,0,1.0,,e2f1f5377
medium,1,0,0,0,1.0,Health status unclear in tabular data,0c17e1f32
medium,1,0,0,0,1.0,Age and size not consistent with tabular data.,b912b1114
high,1,1,1,0,1.0,,bd9e9d9e2
high,1,0,0,0,1.0,,241dd214b
medium,1,1,1,0,1.0,No cages mentioned in description but data shows pet is not sterilized,084874570
high,1,0,0,0,1.0,,c1df421c4
medium,1,0,0,0,1.0,Pet' s age and health status not mentioned in description.,ab9f715ad
low,1,0,0,0,1.0,Pet profile is for female puppies; description mentions male puppies.,3cc84c2f8
high,1,1,1,0,1.0,No inconsistencies found.,ee5583527
medium,1,1,0,0,1.0,Age discrepancy: Description says Coco is 7 years old while data shows 84 months,9a770c49a
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,e07812482
medium,1,1,0,1,1.0,Vaccination status not mentioned in description,997db5df5
high,1,1,1,0,1.0,None,301e16ab9
high,1,1,1,0,1.0,,8705145ca
medium,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description,6e3aad5f3
high,1,1,1,0,1.0,,75a11e0f8
medium,1,0,0,0,1.0,Description lacks information on pet' s behavior and health status.,219a1308d
medium,1,0,0,0,1.0,Pet not vaccinated or dewormed,915173d4d
high,1,1,1,1,0.0,,c390140c3
medium,1,0,0,0,1.0,Pet is not sterilized,81d97fa9f
medium,1,0,0,0,1.0,Outstation care mentioned but no information on living conditions,78b07d4e0
medium,1,0,0,0,1.0,Birth date not provided in structured data,6cd1cac68
medium,1,0,0,0,1.0,Age discrepancy with structured data,fb3bd80d1
medium,0,0,0,1,1.0,Gender mismatch in description,51372ce91
high,1,1,1,0,1.0,,1a1283447
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,4831c683c
high,1,0,0,0,1.0,,90592e40c
medium,1,0,0,0,1.0,Mother dog' s sterilization status unclear,e4e5ea1d2
high,1,1,1,0,1.0,,e7a74fca8
high,1,Not specified in the data.,Not specified in the data.,0,1.0,,a5595a935
medium,1,0,0,0,1.0,Age discrepancy: description says 7-8 weeks old while data shows 2 months.,c7575df7b
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,e81c6347b
high,1,1,1,0,1.0,,7ee058c3d
medium,1,0,0,0,1.0,Vaccination status unknown,4d999ee22
high,1,1,1,0,1.0,No inconsistencies found.,0637293ec
low,1,0,0,0,1.0,Pet is not sterilized as per adoption terms.,7ead795bb
medium,1,1,1,0,1.0,Vaccination status not mentioned in description,691a8b7ea
medium,1,0,0,0,1.0,Long tail and fur length inconsistency,fcd21f3ec
medium,1,0,0,0,1.0,Age and health status not mentioned in structured data,9c31047a7
high,1,0,0,0,1.0,,76d5726c4
high,1,0,1,0,1.0,,03d59fc21
medium,1,0,0,0,1.0,"Vaccination, deworming, and sterilization status unclear",1a9e7158e
high,0,0,0,1,0.0,No inconsistencies found.,86afe98e6
medium,1,1,1,0,1.0,No age information provided in description,0eba8b0ad
high,1,1,0,0,1.0,No inconsistencies found.,d38bcdf49
medium,1,0,0,0,1.0,Vaccination and deworming status unclear,85a79f281
high,1,1,0,0,1.0,No inconsistencies found.,91c2159dd
high,1,1,Not mentioned in the description.,0,1.0,,91d6a2898
high,1,0,0,0,1.0,,cfddf0c47
